,artist,artist_uri,song,song_uri,duration_ms,explicit,album,popularity
0,Rick Ross,spotify:artist:1sBkRIssrMs1AbVkOJbc7a,Rapper Estates (feat. Benny The Butcher),spotify:track:3cYuqoOhuXjx4iB9ttHn6E,203207,True,Richer Than I Ever Been,58
1,Megan Thee Stallion,spotify:artist:181bsRPaVXVlUKXrxwZfHK,Bae Goals,spotify:track:5bnqxdR3sr2tJD34WJOSXW,148906,True,Something for Thee Hotties,51
2,MO3,spotify:artist:44JEJiBvti7NiEhAfzWstv,Outside (Better Days),spotify:track:2AJvoUXSml9cDzQdsk1pEG,215495,True,Outside (Better Days),57
3,Nena,spotify:artist:6Tz0QRoe083BcOo2YbG9lV,99 Luftballons,spotify:track:4ZhPLoMzZwewHLLjV1J15c,232466,False,Nena,74
4,Benny,spotify:artist:0FLCcVf9KtU6ZrmYHp4nEJ,Man of the Kitchen,spotify:track:7zgz8Pn4QpjqPvkE3zPnQR,116832,True,Stabbed & Shot,42
5,Nicki Minaj,spotify:artist:0hCNtLu0JehylgoiP8L4Gh,Save Me,spotify:track:1hn9nQ8TR8Le4EpHN2oCyE,185413,True,Pink Friday,54
6,Benny The Butcher,spotify:artist:5Matrg5du62bXwer29cU5T,Bust A Brick Nick,spotify:track:0hG9tIK4ce1gn7yO2KnK7J,224146,True,Tana Talk 4,56
7,Benny The Butcher,spotify:artist:5Matrg5du62bXwer29cU5T,Johnny P's Caddy,spotify:track:6AshXllQhobwSXsdpgp41w,225000,True,Johnny P's Caddy,74
8,Kevin Gates,spotify:artist:1gPhS1zisyXr5dHTYZyiMe,Big Gangsta,spotify:track:03ERnTvSV5fy8WAyvA4uNP,243462,True,Big Gangsta,69
9,Isaiah Rashad,spotify:artist:6aaMZ3fcfLv4tEbmY7bjRM,RIP Young (feat. Project Pat & Juicy J) - Remix,spotify:track:6GUiCjtZGTvgUKKm1w9mwG,180000,True,The House Is Burning [homies begged],60
